,chemicalIdx,Chemical,Mass to measure (in grams),Actual mass measured,CH3CN,CCl2H2
0,1,Iron(II) tetrafluoroborate hexahydrate,0.02848922,,,
1,2,Zinc tetrafluoroborate,0.0142921999999999,,,
2,3,Yittrium(III) trifluoromethanesulfonate,0.040851582,,,
3,4,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,0.075557312,,,
4,5,Silver tetrafluoroborate,0.0555393509999999,,,
5,6,"1,10-Phenanthroline-2,9-dicarbaldehyde",0.0,0.0,0.0,0.0
6,7,"Pyridine-2,6-dicarbaldehyde",0.0,0.0,0.0,0.0
7,8,"2,2'-(Ethane-1,2-diyl)dianiline",0.0242655471,,,
8,9,"2,2'-(Ethane-1,2-diylbis(oxy))diethanamine",0.016940403,,,
9,10,"2,2'-Oxydiethanamine",0.019590615,,,
10,11,"4,4'-Methylenedianiline",0.0250997159999999,,,
11,12,m-Xylylenediamine,0.015566517,,,
12,13,"Adamantane-1,3-diamine",0.0,0.0,0.0,0.0
13,14,"4,4'-(9H-AdamantaeFlurene-9,9diyl)dianiline",0.039826692,,,
14,15,"(S)-4,5,6,7-Tetrahydro-benzothiazole-2,6-diamine",0.0,0.0,0.0,0.0
15,16,"[2,2'-Bipyridine]-4,4'-diamine",0.0,0.0,0.0,0.0
16,17,"Naphthalene-1,8-diamine",0.01808226,,,
17,18,"4,4'-Oxydianiline",0.022887432,,,
18,19,"6-Methyl-1,3,5-triazine-2,4-diamine",0.0,0.0,0.0,0.0
19,20,"(R)-(+)-1,1'-Binaphthyl-2,2'-diamine",0.04998873,,,
20,21,6-Methylpyridine-2-carboxaldehyde,0.0,0.0,0.0,0.0
21,22,6-Phenylpicolinaldehyde,0.0,0.0,0.0,0.0
22,23,"[2,2'-Bipyridine]-6-carbaldehyde",0.12819624,,,
23,24,2-Quinolinecarboxaldehyde,0.0,0.0,0.0,0.0
24,25,5-Methylpicolinaldehyde,0.018752472,,,
25,26,8-methoxyquinoline-2-carbaldehyde,0.0,0.0,0.0,0.0
26,27,"[1,8]Naphthyridine-2-carbaldehyde",0.1139700959999999,,,
27,28,4-Formyl-2-methylthiazole,0.0,0.0,0.0,0.0
28,29,6-Methoxypyridine-2-carbaldehyde,0.0,0.0,0.0,0.0
29,30,1-Methyl-2-imidazolecarboxaldehyde,0.0,0.0,0.0,0.0
30,31,1-Methyl-1H-benzimidazole-2-carbaldehyde,0.0,0.0,0.0,0.0
31,32,"4-Methyl-1,3-thiazole-2-carbaldehyde",0.0,0.0,0.0,0.0
